ID	coeff
AADACL4	2.324
ABCA12	1.089
ABCC3	0.067
ABI1	-0.004
ABRA	-0.712
AC006059.2	-372.393
AC008676.3	-1.569
AC008764.4	18.264
AC010132.3	52.95
AC012651.1	-12.641
AC013477.1	-8.111
AC109583.1	1.546
AC113348.2	23.13
AC117457.1	78.971
AC131160.1	2.753
AC144573.1	100.504
AC235565.2	-330.34
ACO2	-0.06
ACTC1	-0.005
ACTL9	-62.154
ACTRT2	2.486
ADD3	0
ADGRL3	-0.002
ADH7	-0.016
ADPRHL1	-0.599
ADRA2A	-0.036
ADRA2B	0.067
AFMID	0.052
AKAP12	0.002
AKAP14	0.328
AKAP3	-0.267
AL139260.3	1.459
ALG6	0.166
ANGPTL6	0.422
ANKRD20A1	1.206
ANXA6	-0.035
ANXA8L1	-1.802
AOC2	-0.012
APOBEC1	34.828
APOE	0
ARHGAP11B	1.798
ARHGAP12	-0.007
ARHGEF19	0.472
ARL2.SNX15	-37.082
ARL6IP1	0.01
ARPC4.TTLL3	-26.352
ASB4	0.005
ASB5	0.214
ASB6	0.04
ASPM	0.088
ATP1A2	0.001
ATP2B4	0.001
AZGP1	0.001
B3GAT2	-0.032
