"ID"	"Beta"	"HR"	"P-value"	"GP1"	"GP2"	"Hr-Inv-lst"	"Concordance"	"Std_Error"
"A2ML1"	"-0.866856742823893"	"0.420270493515833"	"0.0106145057604715"	"29"	"129"	"2.37941995792842"	"0.56482982171799"	"0.0396590237209888"
"AADACL4"	"0.873027884562316"	"2.39414909680176"	"0.0175881269132526"	"135"	"23"	"0.417684930874129"	"0.562722852512156"	"0.0357392244341072"
"AAMDC"	"-0.998086698141534"	"0.368583979372125"	"0.0110714841848022"	"109"	"49"	"2.71308590705293"	"0.604051863857374"	"0.0323332776194887"
"AAR2"	"0.881686359818125"	"2.41496878080511"	"0.0164162899035616"	"136"	"22"	"0.414084027896467"	"0.582333873581848"	"0.038819253941559"
"ABCA12"	"1.64057170506327"	"5.15811759138245"	"0.00304881327508366"	"150"	"8"	"0.193869174613366"	"0.549108589951378"	"0.0289413274861312"
"ABCB4"	"2.95478458786445"	"19.1975868812067"	"0.000116035546113627"	"156"	"2"	"0.052089880159831"	"0.537925445705024"	"0.0262359794323798"
"ABCB5"	"0.626744606650472"	"1.871508156554"	"0.0444138736072973"	"104"	"54"	"0.534328421972413"	"0.53484602917342"	"0.042697912299858"
"ABCB6"	"-0.669110673076258"	"0.512163856417643"	"0.0371431055077029"	"47"	"111"	"1.95250013734775"	"0.568557536466775"	"0.0439433114945388"
"ABCC3"	"1.01764341491857"	"2.76666718896947"	"0.00515117176983992"	"62"	"96"	"0.36144571489731"	"0.642787682333874"	"0.0267593797163032"
"ABCC9"	"-0.883024793951435"	"0.413530174430346"	"0.00464749271130413"	"49"	"109"	"2.41820322151229"	"0.626580226904376"	"0.0445763069021154"
"ABCE1"	"1.2154657018991"	"3.37186398219638"	"0.0460590691836001"	"153"	"5"	"0.296571868046888"	"0.53063209076175"	"0.0256160754055422"
"ABCF3"	"-0.874080300073191"	"0.4172455840025"	"0.00600610883873301"	"58"	"100"	"2.39667006276574"	"0.60129659643436"	"0.0445258220866456"
"ABHD12"	"-0.900947247743094"	"0.406184719893483"	"0.00931752160924665"	"39"	"119"	"2.46193406847564"	"0.559805510534846"	"0.0406884888096369"
"ABHD14B"	"0.940701245456642"	"2.56177722324439"	"0.0383134409252105"	"142"	"16"	"0.390354005385971"	"0.528363047001621"	"0.0263519724060425"
"ABLIM1"	"-0.700735281334918"	"0.496220308090045"	"0.0325330590966854"	"87"	"71"	"2.01523392673913"	"0.614100486223663"	"0.0370505912067715"
"ABLIM3"	"-0.893330874796533"	"0.409290185384964"	"0.019750005600665"	"23"	"135"	"2.44325428683181"	"0.560940032414911"	"0.0376175814651469"
"ABT1"	"1.30527208976541"	"3.68869261268286"	"0.00206885435620198"	"147"	"11"	"0.271098761811079"	"0.560129659643436"	"0.0321145885060612"
"AC004076.1"	"-0.753495344358509"	"0.47071835116984"	"0.0171072980495936"	"76"	"82"	"2.12441260791039"	"0.614910858995138"	"0.0418584611338316"
"AC005520.1"	"-0.940800259257358"	"0.390315356865673"	"0.0128647714886394"	"111"	"47"	"2.56203088710176"	"0.598865478119935"	"0.0339405702369284"
"AC005832.4"	"1.37410843751311"	"3.95155209632756"	"0.00126845453955403"	"145"	"13"	"0.253065118622469"	"0.561588330632091"	"0.0317770688321494"
"AC006030.1"	"-0.979358079102644"	"0.375552096231114"	"0.0095684937128294"	"99"	"59"	"2.66274642063136"	"0.596272285251216"	"0.0370333838954423"
"AC008764.4"	"1.37272759925717"	"3.94609940752964"	"0.0237739108243148"	"153"	"5"	"0.253414801992032"	"0.53257698541329"	"0.0256725523270116"
"AC010132.3"	"0.940258220746499"	"2.56064254399665"	"0.00368753007232494"	"108"	"50"	"0.390526980169283"	"0.637763371150729"	"0.0429974371775203"
"AC013470.2"	"0.645156599817325"	"1.90628552986449"	"0.0493895240253384"	"69"	"89"	"0.524580386481287"	"0.603079416531604"	"0.038587276682438"
"AC027796.3"	"-0.706051557648941"	"0.493589263695825"	"0.0270348693234256"	"62"	"96"	"2.02597599573449"	"0.557212317666126"	"0.0447437378944506"
"AC097636.1"	"-0.806652113350837"	"0.446349896449459"	"0.0184828903912594"	"83"	"75"	"2.24039482915671"	"0.571636952998379"	"0.0448752489029157"
"AC106741.1"	"-1.11959850093899"	"0.326410821956124"	"0.0362507970586046"	"136"	"22"	"3.06362391420472"	"0.579092382495948"	"0.0176115688531927"
"AC131160.1"	"0.785994865865692"	"2.1945891768984"	"0.0143344434738354"	"104"	"54"	"0.455666149512909"	"0.605996758508914"	"0.0441077657378588"
"AC132217.2"	"0.890721544415965"	"2.43688733954073"	"0.0481846522690509"	"144"	"14"	"0.410359553260459"	"0.53614262560778"	"0.0311640631925823"
"AC144573.1"	"1.31541242178467"	"3.72628747051822"	"0.00631827774786023"	"151"	"7"	"0.268363621409201"	"0.559157212317666"	"0.0302696626839485"
